Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;2280;494.055208083056;9;334.2461;True;2280;43.81237;652.9061;114.3;2476885
2;2280;875.374119646847;9;376.137;True;2280;47.47121;662.6429;49.08694;2531862
3;2280;1119.69329650998;9;286.9442;True;2280;43.26222;650.0894;107.5464;2.158017E+07
4;2280;1779.47651062012;9;303.7226;True;2280;43.88284;648.4854;56.66409;2.059301E+07
5;2280;1722.02908318043;9;304.3173;True;2280;48.42645;688.7286;82.53954;7981499
6;2280;1611.49433505535;9;286.9442;True;2280;40.84665;642.1728;103.6473;1.606945E+07
7;2280;1904.87432250977;9;288.2334;True;2280;42.62039;633.7177;99.31073;4996013
8;2280;1846.88555603027;9;270.1298;True;2280;41.63745;562.3911;84.71976;4235169
9;2280;1680.10909258127;9;288.2334;True;2280;44.68939;630.1042;46.51713;1.864192E+07
10;2280;1693.61852026582;9;288.2334;True;2280;45.0163;630.5909;68.89634;1.534227E+07
11;2280;1860.37425842285;9;288.2334;True;2280;45.60333;617.0909;70.42191;1.000483E+07
12;2280;1849.6364440918;9;288.2334;True;2280;42.11365;549.8132;86.2161;4139477
13;2280;1963.979296875;9;292.1112;True;2280;45.09912;576.1933;72.41441;2.144908E+07
14;2280;1727.91843024492;9;288.2334;True;2280;50.02759;661.7033;21.95993;3384772
15;2280;1681.34129368067;9;288.2334;True;2280;44.04407;578.9409;86.25951;1.556447E+07
16;2280;1716.86927490234;9;291.3271;True;2280;43.11255;599.9677;71.4276;2.793965E+07
17;2280;1947.52930297852;10;297.2334;True;2280;46.92249;652.9041;51.07795;5751469
18;2280;1803.09464712143;10;298.2206;True;2280;45.56616;615.4565;68.07462;2.195641E+07
19;2280;2042.01735839844;10;298.2206;True;2280;47.8313;645.2985;46.02571;2221833
20;2280;1781.33877247572;10;278.8761;True;2280;44.16553;644.4495;58.11898;2.30152E+07
21;2280;1503.27515958548;10;275.389;True;2280;47.30554;653.6387;67.63225;1.648436E+07
22;2280;1876.03802490234;10;278.8761;True;2280;43.12659;712.7645;66.61903;1.521376E+07
23;2280;1883.72209472656;10;251.1726;True;2280;53.24756;719.309;33.13224;2.055589E+07
24;2280;1820.2053314209;10;287.3767;True;2280;44.78772;693.7231;72.33063;7356261
25;2280;2007.92063598633;10;292.4181;True;2280;43.17358;539.5514;75.71073;7758854
26;2280;1904.14572018087;10;269.9499;True;2280;47.30103;652.3081;53.25533;4599951
27;2280;1969.98788604736;10;292.4181;True;2280;48.3855;637.8066;61.9394;1.815404E+07
28;2280;1861.45794677734;10;269.9499;True;2280;42.95923;659.2663;89.25591;9496829
29;2280;1654.13548052907;9;308.4316;True;2280;43.72192;648.8548;77.6307;1.059422E+07
30;2280;2022.54818115234;10;312.0208;True;2280;45.89111;614.6736;78.80241;1.856111E+07
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1748.01257324219;394.303994944692;10;416.6262;False;1748.013;41.84397;535.7425;-15.44214;31420.6
2;1737.75842285156;673.943929070234;10;342.6218;False;1737.758;38.80488;527.8752;-21.02779;765230.5
3;2280;1268.51398281455;10;382.4331;True;2280;44.00737;653.6149;75.69231;1.410132E+07
4;2280;1616.98876382709;9;322.5013;True;2280;44.642;641.9901;74.75619;1.546016E+07
5;2280;1700.16338512897;9;322.5013;True;2280;45.71399;570.327;66.10267;1.563966E+07
6;2280;1807.13381347656;9;323.6373;True;2280;50.03882;624.3777;-38.23169;5664527
7;2280;1727.06671142578;9;322.5013;True;2280;45.91904;632.3422;55.46391;2922854
8;2280;1612.14691941142;9;332.8399;True;2280;44.6875;650.3045;49.78592;2910930
9;2280;1457.33624169826;9;325.4315;True;2280;44.12634;660.429;96.84196;1.337523E+07
10;2280;1654.64197216034;9;323.6373;True;2280;43.89984;647.6268;76.93916;4380332
11;2280;1835.72332763672;9;341.8787;True;2280;49.18921;632.1612;61.40738;1.704516E+07
12;2280;1742.73367991149;9;322.3831;True;2280;49.05634;636.1152;44.31826;6508172
13;2280;1567.10384722948;9;310.936;True;2280;44.7998;586.5313;76.26855;1.605795E+07
14;2280;1899.8170135498;9;315.4031;True;2280;45.97156;621.3246;66.04637;5339994
15;2280;1678.73702998161;9;338.2755;True;2280;43.20856;651.6299;86.96081;6135242
16;2280;1855.54949951172;9;305.1926;True;2280;39.40515;641.4348;91.12714;9556644
17;2280;1778.07802734375;9;320.496;True;2280;39.18811;528.2223;94.25659;1.27039E+07
