Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1533.90185546875;583.382929134369;10;347.3447;False;1533.902;39.01191;444.5639;50.24617;56102.16
2;2206.74633789063;1073.62783018351;10;303.062;False;2206.746;58.39182;663.3661;-65.91242;19868.69
3;2280;1368.88492431641;9;271.8136;True;2280;43.57094;651.8148;93.7285;2221100
4;2280;1853.40911375582;9;269.7515;True;2280;49.22729;668.4938;47.91036;6074849
5;2280;1727.048828125;9;352.3593;True;2280;45.79056;626.0013;85.33746;5718105
6;2280;1589.09220385551;9;271.8136;True;2280;45.13901;636.5027;76.19949;2272776
7;2280;1868.52842102051;9;271.8136;True;2280;45.25302;633.5072;53.5311;2.295084E+07
8;2280;1829.22844848633;9;264.3361;True;2280;44.40887;637.236;97.97575;2.420691E+07
9;2280;1808.72327270508;9;263.2151;True;2280;48.31696;644.1653;39.5379;4008672
10;2280;1899.70516357422;9;272.1734;True;2280;44.27155;649.661;59.00249;1.367332E+07
11;2280;1638.55773620605;9;268.8989;True;2280;48.69409;637.2151;62.15185;2131398
12;2280;1590.03716812134;9;268.8989;True;2280;44.1134;643.5201;72.69444;8382298
13;2280;1620.42885284424;10;283.3883;True;2280;46.55676;592.748;90.55761;1.042526E+07
14;2280;1792.08745117188;9;268.8989;True;2280;52.08936;673.8176;74.12602;6508132
15;2280;1748.3891998291;9;268.8989;True;2280;58.01318;662.4841;24.88195;3440584
16;2280;1945.95385742188;9;264.3049;True;2280;46.90112;593.084;78.30885;1.893845E+07
17;2280;1904.76947631836;9;249.8221;True;2280;45.75964;615.6622;72.98487;4910877
18;2280;1918.75725708008;8;248.389;True;2280;52.5061;586.695;38.65598;3485290
19;2280;1926.62041625977;8;248.389;True;2280;47.17249;641.4888;72.94748;1.544324E+07
20;2280;1691.13647460938;9;264.3049;True;2280;43.3457;662.3198;97.64909;5862394
21;2280;1881.39936828613;8;251.1455;True;2280;45.96057;664.6967;68.01151;2015663
22;2280;1691.32708740234;9;264.3049;True;2280;45.86902;616.008;74.12212;2.275442E+07
23;2280;1895.07250366211;9;264.3049;True;2280;48.19739;632.5712;-10.80542;3268318
24;2280;1884.6049407959;9;298.0337;True;2280;48.75281;654.697;43.60269;1.104056E+07
25;2280;1715.83544921875;9;245.05;True;2280;44.38916;658.8182;80.41895;1.253943E+07
26;2280;2011.39886474609;9;245.05;True;2280;46.88953;663.5539;66.7895;5785674
27;2280;1592.30235265195;9;265.3759;True;2280;51.76807;634.1752;-11.362;1.316257E+07
28;2280;1769.71959838867;10;307.0337;True;2280;40.20508;579.8959;102.0867;2.080565E+07
29;2280;1841.5283203125;9;251.9803;True;2280;40.6438;697.8415;89.45802;2.317719E+07
30;2280;1786.25694580078;9;251.9803;True;2280;42.03711;602.4561;95.58955;1.501537E+07
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1534.90649414063;280.926744478941;7;349.9512;False;1534.906;42.06346;474.9609;40.46592;187524.8
2;1945.40930175781;750.413434353471;7;349.9512;False;1945.409;48.91283;580.542;-58.48157;45397.8
3;1734.57238769531;1076.57708558738;7;333.6418;False;1734.572;51.67061;510.3282;7.310163;72901.46
4;2115.642578125;1405.41427192688;7;350.4744;False;2115.643;50.04037;602.0089;22.46959;551922.4
5;2280;1599.87506713867;7;352.0491;True;2280;39.45087;671.2562;103.5981;4842451
6;2280;1698.95154463053;7;352.0491;True;2280;47.15189;664.1843;81.04233;4360672
7;2280;1739.31244506836;7;329.8156;True;2280;46.6795;655.4097;-4.605805;4339411
8;2280;1719.16940689087;7;314.6885;True;2280;47.43402;657.575;101.3311;9782081
9;2280;1658.71123447418;7;314.6885;True;2280;49.46082;658.8781;28.7481;6088165
10;2280;1936.38015594482;7;314.6885;True;2280;43.74194;586.2686;63.53019;1.411427E+07
11;2280;1672.42664489746;8;330.0895;True;2280;41.64014;609.1026;92.89828;2.444249E+07
12;2280;1699.09102783203;7;314.6885;True;2280;50.89227;631.0734;21.66206;6874289
13;2280;1645.90063967705;7;314.6885;True;2280;41.14001;562.4133;67.28518;1.220239E+07
14;2280;1947.06962890625;7;314.6885;True;2280;42.58972;611.4482;60.7523;1.120978E+07
15;2280;1881.91245727539;7;314.6885;True;2280;40.86743;632.6811;81.60784;559218.1
16;2280;1901.03966064453;7;317.8161;True;2280;43.16504;606.8504;54.67633;7388377
17;2280;1582.37280502319;7;314.6885;True;2280;47.26489;610.4677;67.9892;1.359872E+07
18;2280;1825.29629516602;7;317.8161;True;2280;45.1499;687.2286;69.84135;8752094
19;2280;1785.29005732536;7;317.8161;True;2280;42.73047;596.4827;65.32093;2234138
20;2280;1634.68465638161;6;308.8161;True;2280;41.87891;565.1722;75.02384;6341173
21;2280;1676.92369320244;8;327.0338;True;2280;40.40112;644.1738;108.8411;8570619
22;2280;2022.2115150094;8;327.0338;True;2280;41.21509;637.3865;95.93599;1.604767E+07
23;2280;1857.48462324142;7;289.0714;True;2280;44.43665;634.98;66.89941;1.871923E+07
24;2280;1957.32509918213;7;289.0714;True;2280;43.71545;651.5682;71.06331;1.557395E+07
25;2280;2078.14060058594;8;307.0217;True;2280;44.77527;631.1526;59.77958;8126577
26;2280;1473.05641492605;8;312.9906;True;2280;40.12634;644.1448;150.8612;1.694646E+07
27;2280;1725.72326812744;8;320.8471;True;2280;41.42334;651.6851;88.69629;635460.5
28;2280;1966.65063095093;8;320.8471;True;2280;40.14648;652.7291;90.6251;3613271
29;2280;1616.23570896387;9;335.816;True;2280;42.32104;665.7838;82.82207;5988443
30;2280;1679.84420855343;8;320.8471;True;2280;51.70117;628.5818;27.35381;8342204
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1339.84411621094;213.40958301425;10;333.1388;False;1339.844;35.72887;415.3946;66.36564;113737.7
2;2280;947.627541828155;8;264.4021;True;2280;42.25933;625.1804;75.41805;5626135
3;1905.16870117188;1110.55730330348;10;333.1388;False;1905.169;48.60811;528.4697;-20.17521;401885.6
4;2280;998.626294326782;10;333.5232;True;2280;51.048;676.9543;-1.401178;2225668
5;2280;1183.47027136087;10;390.5527;True;2280;49.99622;637.2848;19.4;7060930
6;2280;1675.43430480957;10;333.5232;True;2280;50.44458;621.4721;52.82928;5863295
7;2280;1738.48404998779;10;333.5232;True;2280;50.315;603.2009;44.8819;3596556
8;2280;1569.91394437552;10;333.5232;True;2280;43.21185;595.9441;75.02367;1956246
9;2280;1671.86011810303;10;339.775;True;2280;49.07739;693.826;1.238846;7859072
10;2280;1679.45706481934;10;333.5232;True;2280;45.97748;622.5169;63.56902;1.311308E+07
11;2280;1817.08739013672;10;352.0218;True;2280;53.98181;712.5529;23.8832;4878992
12;2255.04467773438;1668.72960281372;10;333.5232;False;2255.045;47.85699;635.252;-68.43819;34857.52
13;2280;1721.89886779785;10;333.5232;True;2280;47.19397;656.0729;62.12849;3646767
14;2280;1688.28731079102;10;333.5232;True;2280;53.33203;723.5504;-2.499543;2428377
15;2280;1592.50647649765;10;333.5232;True;2280;46.89746;602.3069;67.99431;1.193786E+07
16;2204.80322265625;1523.16917724609;10;358.0095;False;2204.803;54.78687;638.1364;-41.8477;452433.5
17;2280;1658.59991738945;10;358.0095;True;2280;45.06799;566.1174;68.68139;5564557
18;2280;1556.384375;10;358.0095;True;2280;46.91003;604.5386;56.05313;2625774
19;2280;1544.68884134293;10;326.49;True;2280;43.53918;654.9294;87.86642;5021538
20;2280;1767.40160522461;10;350.7512;True;2280;54.57129;656.804;-12.39044;5364297
21;2280;1722.01244812012;10;374.1461;True;2280;45.37329;630.7603;17.8585;7892377
22;2280;1761.44496459961;10;335.3876;True;2280;47.68494;587.3694;79.94181;1.157025E+07
23;2280;1557.54525539875;10;374.8614;True;2280;44.59802;627.7896;89.42922;1.16278E+07
24;2280;1793.29608001709;10;346.0374;True;2280;46.19507;598.7598;67.18629;1.374804E+07
25;2280;1811.34602379799;10;346.0374;True;2280;48.49023;628.0027;13.70914;5810270
26;2280;1711.46801038384;10;351.2671;True;2280;45.0144;630.6024;71.81052;7616201
27;2280;1604.48023395538;10;351.2671;True;2280;48.54785;625.9586;66.49027;3594762
28;2280;1830.20657958984;10;400.8089;True;2280;48.46436;690.1569;32.4086;5330390
29;2280;1780.9909526825;10;400.8089;True;2280;42.02344;664.1036;76.21802;1.224584E+07
30;2280;1778.2346159637;10;383.2471;True;2280;42.09155;618.5837;75.38843;2.481956E+07
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;2280;388.481297686696;10;420.6735;True;2280;46.01519;678.3841;134.8298;7426832
2;1821.53405761719;704.00670478642;10;420.6735;False;1821.534;45.90768;549.6846;-29.82085;32265.12
3;1774.91345214844;989.986399722099;10;420.6735;False;1774.913;56.92793;543.6237;-37.66618;28329.03
4;2028.20397949219;1322.70770025253;10;420.8409;False;2028.204;53.28311;611.9918;-6.747254;231825.3
5;2280;1424.13256835938;10;405.8597;True;2280;50.3894;651.0933;83.98369;4293488
6;2121.29077148438;1149.98231391907;10;389.9258;False;2121.291;50.13681;620.3054;-54.89273;121970.8
7;2280;1393.44758492708;9;422.1781;True;2280;43.03131;602.9231;71.6615;4861061
8;2280;1421.64071130157;10;424.5986;True;2280;46.43976;659.1468;89.19515;4755996
9;2280;1606.31577336788;10;424.5986;True;2280;47.83765;650.7497;28.72227;9869899
10;2280;1401.86069791913;10;424.5986;True;2280;46.32617;664.3836;92.04124;8668651
11;2280;1511.07124737501;10;424.5986;True;2280;46.97607;649.5472;89.2511;208215.6
12;2280;1459.31841773987;10;433.3484;True;2280;45.90399;610.153;72.2403;2.314266E+07
13;2280;1610.10446777344;10;448.9611;True;2280;46.62695;660.6476;66.79215;4017554
14;2280;1771.00362854004;10;433.3484;True;2280;44.6532;638.6191;81.61864;8962194
15;2280;1942.9954284668;10;433.3484;True;2280;48.35315;635.9113;91.7229;6854266
16;2280;1627.13894205093;10;375.598;True;2280;43.44348;654.2667;72.66539;3175999
17;2280;1786.94335895777;10;375.598;True;2280;50.56006;620.1222;42.20998;7015073
18;2280;1582.65087316036;10;421.7123;True;2280;46.64685;609.7976;80.54132;1.599394E+07
19;2280;1632.64993658066;10;342.0059;True;2280;55.23828;664.9542;13.6422;9077198
20;2280;1809.54449691772;10;342.0059;True;2280;43.45264;660.6134;111.7045;1.096887E+07
21;2280;1749.0681476593;10;336.8762;True;2280;47.85999;629.3348;102.3105;3721659
22;2280;1895.59097063541;10;336.8762;True;2280;43.96826;647.795;67.41399;1.009918E+07
23;2280;1708.08819479942;10;336.8762;True;2280;43.35571;646.3982;113.1805;1472265
24;2280;1916.49641723633;10;339.5809;True;2280;41.61743;614.7294;105.2566;1.545968E+07
25;2280;1710.21103086472;10;339.5809;True;2280;43.99048;665.0112;94.96156;1.087094E+07
26;2280;1821.25451846123;10;336.8762;True;2280;43.74634;648.1403;112.927;1.565302E+07
27;2280;1904.42750444412;10;339.5809;True;2280;47.98022;608.21;54.46116;1.161015E+07
28;2280;2014.80434570312;9;304.9514;True;2280;47.81006;602.8168;56.83156;1.214214E+07
29;2280;1748.97690958977;9;304.9514;True;2280;41.54785;616.4499;128.0488;5849237
30;2280;1857.52957385182;10;337.3929;True;2280;45.32568;682.0982;115.5021;7622568
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1185.7939453125;349.805604118109;10;360.7925;False;1185.794;38.00467;368.3905;-5.98216;5597.471
2;1529.28015136719;548.571130299568;10;360.7925;False;1529.28;45.24249;456.861;-40.76982;130922.8
3;1777.67248535156;985.679950237274;10;360.7925;False;1777.672;47.72752;533.7576;-5.13063;106596.4
4;1860.69409179688;928.691721343994;10;360.7925;False;1860.694;48.29361;569.6214;-52.62158;10028.51
5;1830.42932128906;1000.40326843262;9;327.4713;False;1830.429;47.86383;529.863;-25.93861;19215.69
6;1776.26977539063;1011.04717788696;9;327.4713;False;1776.27;48.50812;537.8506;0.7718671;421648.4
7;2280;1033.40538082123;9;327.4713;True;2280;46.09009;633.265;56.44809;15675.39
8;2280;1150.9697394371;9;329.8575;True;2280;41.56445;679.539;141.6987;1.201702E+07
9;2280;1215.84301600456;9;333.9631;True;2280;43.55646;649.712;96.94878;909065.1
10;2280;1699.67346801758;9;329.199;True;2280;42.5636;622.8193;97.27037;1.496311E+07
11;2280;1285.78189249039;8;287.9388;True;2280;42.12097;609.4127;117.8102;1.171724E+07
