Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1045.16015625;334.021056088805;9;283.3979;False;1045.16;62.86076;313.4009;0.6822953;93535.59
2;1061.49963378906;450.533140176535;10;382.9753;False;1061.5;66.88109;327.0267;-20.65412;29969.37
3;1225.64562988281;545.131790858507;8;369.5592;False;1225.646;82.42555;362.6494;3.209386;29842.24
4;1227.36474609375;686.412929362059;10;318.6563;False;1227.365;36.19489;358.3371;-18.88935;4366.434
5;1610.34362792969;805.92741522789;9;350.7383;False;1610.344;51.73645;492.024;-27.60604;291724.9
6;1299.52978515625;628.083778965473;9;350.7383;False;1299.53;38.58051;398.2861;41.36261;568965.9
7;1264.634765625;918.160948181152;9;350.7383;False;1264.635;42.58917;378.4633;11.26591;661141.6
8;1265.71508789063;864.039311790466;9;348.9461;False;1265.715;56.31238;382.5637;-10.27187;268773.5
9;1818.59533691406;794.437079298496;9;350.7383;False;1818.595;53.34991;536.934;16.2739;158559.1
10;1415.76879882813;923.060214233398;8;368.1953;False;1415.769;94.84943;430.8253;-2.378164;152031
11;1297.10314941406;1054.7737487793;10;333.8052;False;1297.103;69.77856;388.5983;16.28557;106585.6
12;1613.4951171875;984.081384408474;10;309.3914;False;1613.495;41.70667;478.4088;35.52323;526116.1
13;2206.2509765625;1072.1369720459;10;309.3914;False;2206.251;57.12256;670.1925;-16.28097;513366.6
14;2255.53466796875;1069.70989117622;10;309.3914;False;2255.535;55.66565;675.3563;-82.85034;40583.97
15;2224.51782226563;1366.47554931641;8;334.7157;False;2224.518;49.81775;658.5067;7.962155;16719.66
16;2032.75048828125;1591.3071472168;9;302.5449;False;2032.75;47.20386;601.0648;-13.67807;216923.5
17;2280;1112.98693814278;10;309.1568;True;2280;50.66394;648.7712;119.875;1.083814E+07
18;2257.24291992188;1381.17958831787;8;302.5062;False;2257.243;45.93237;675.845;-41.60975;22862.88
19;1944.35180664063;1176.12570266724;10;309.1568;False;1944.352;39.70801;573.9066;-32.70842;505589.7
20;2280;1306.95867300034;10;309.1568;True;2280;46.73694;663.7266;78.64077;7944118
21;2280;1227.12119526863;10;322.2808;True;2280;47.49329;651.4785;90.53996;1.827126E+07
22;2280;1364.29206008911;10;322.2808;True;2280;54.26147;687.8707;-12.36201;3260886
23;2280;1463.88274137974;10;322.2808;True;2280;48.47241;677.8595;35.20976;1.618684E+07
24;2280;1680.37064806223;10;315.9498;True;2280;55.32996;635.8297;-1.785237;8707518
25;2203.53344726563;1515.05640716553;10;302.9001;False;2203.533;55.59473;644.6512;-2.908964;46114.34
26;2280;1540.42142953873;10;294.6877;True;2280;40.50781;584.4197;111.3604;2.067586E+07
27;2280;1694.24926486015;10;322.2808;True;2280;44.82251;645.9259;54.37249;5292532
28;2280;1340.08991169631;10;304.7604;True;2280;46.66577;661.3429;50.96482;2324507
29;2280;1415.52011582851;10;294.6877;True;2280;41.27441;624.6564;114.0097;8052480
30;2280;1584.47586212158;10;304.7604;True;2280;42.58032;563.2177;75.57656;6628233
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1652.47607421875;376.083978778124;9;366.5948;False;1652.476;50.09608;491.9265;-11.40473;18634.24
2;1453.71142578125;448.48029499948;8;287.3535;False;1453.711;40.59402;435.9787;30.50613;447524.8
3;2246.87109375;767.874274493754;9;366.5948;False;2246.871;54.00856;681.6907;0.2269681;375824.3
4;2280;1090.93169643432;9;369.5757;True;2280;49.47324;669.6924;81.41352;6832711
5;2280;925.576235437393;10;309.8415;True;2280;41.57126;687.3895;79.89323;2.258025E+07
6;2127.65356445313;927.225231337547;10;309.8415;False;2127.654;46.58087;664.5988;-9.943116;18051.79
7;2280;1052.0697309345;9;393.2309;True;2280;47.09601;601.5223;64.32851;3778552
8;2280;1464.65070209503;9;400.5649;True;2280;44.72546;641.7711;74.69531;1.367054E+07
9;2244.79370117188;1408.40631446838;9;341.0423;False;2244.794;50.10632;662.6278;-19.95078;570716.5
10;2280;1376.66649141312;9;375.9654;True;2280;50.1449;668.442;24.04627;1583524
11;2280;1342.02128367424;9;352.428;True;2280;40.19019;651.1584;117.3525;9324490
