Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;660.614624023438;113.847421639413;9;364.6991;False;2728.497;132.2406;792.8552;-9.374578;54238.91
2;807.73681640625;259.974106589891;10;306.1044;True;2760;106.1044;813.8412;32.23551;968915.2
3;864.40771484375;451.867462432385;10;323.2544;True;2760;112.5663;876.9741;27.33555;2606581
4;851.848693847656;413.878486716375;10;295.1533;True;2760;94.40417;846.2529;32.68575;9126871
5;907.232238769531;654.292956542969;10;357.1715;True;2760;80.01776;887.25;31.19991;2881661
6;901.2578125;703.022326874733;10;310.4333;True;2760;105.7255;906.9833;23.7153;1381982
7;900.091247558594;650.828140377998;10;359.6005;True;2760;89.46228;889.5535;25.33781;3870457
8;915.400512695313;669.943756520748;10;329.6799;True;2760;98.34943;913.7499;32.3371;1506970
9;915.946105957031;749.176930236816;10;347.7792;True;2760;93.13098;909.0771;28.50444;4539780
10;921.419677734375;683.379347801208;10;359.6005;True;2760;75.84534;897.265;37.98514;2.736447E+07
11;924.072021484375;699.368061709218;10;364.6025;True;2760;75.91785;899.9899;33.39787;1534263
12;934.997375488281;736.779348754883;10;364.6025;True;2760;74.97546;909.9728;27.03247;2257582
13;923.139343261719;805.19490814209;10;357.8539;True;2760;78.14697;901.2863;32.90043;1.443436E+07
14;934.483154296875;893.925466918945;10;364.6025;True;2760;80.25403;914.7372;33.5031;77927.57
15;934.5947265625;829.089811706543;10;357.8539;True;2760;74.3772;908.9719;43.26209;2.28295E+07
16;932.746276855469;761.511026144028;10;357.9998;True;2760;77.63013;910.3764;36.11616;2.271234E+07
17;929.918334960938;725.134605360031;10;334.8818;True;2760;66.74072;896.6591;37.89811;5455761
18;938.2978515625;664.277143418789;9;353.9439;True;2760;74.28052;912.5784;33.62608;1858478
19;943.759948730469;710.884074230585;9;355.6025;True;2760;65.73169;909.4916;30.6368;1.295099E+07
20;938.927062988281;688.404002416134;9;353.9439;True;2760;74.15698;913.084;30.70724;3470773
21;933.253723144531;702.295475475863;9;312.1618;True;2760;74.88916;908.1429;29.09635;3196298
22;939.783081054688;811.401351782307;9;353.9439;True;2760;57.51147;897.2946;45.20966;1.014038E+07
23;953.82421875;551.282734470442;9;347.0452;True;2760;56.25122;910.0754;59.5286;1.754263E+07
24;939.257385253906;745.562807631493;9;353.9439;True;2760;71.72241;910.9798;35.61159;5266043
25;931.083984375;771.084402007237;8;345.6263;True;2760;74.67114;905.7551;33.79987;4110435
26;940.311218261719;732.782993888855;8;349.0747;True;2760;66.40747;906.7187;37.97202;3163518
27;933.712707519531;778.215397754312;9;348.1306;True;2760;69.34229;903.055;37.06407;3159038
28;935.726379394531;713.413848392665;9;325.4455;True;2760;70.01343;905.7398;31.31876;5006463
29;930.586730957031;872.874880981445;9;348.8129;True;2760;77.93091;908.5176;36.32635;5314233
30;941.711486816406;762.78605472818;9;326.1261;True;2760;65.72437;907.4359;29.65392;1.247301E+07
#
