Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
3;772,398986816406;421,319940125942;9;313,7233;True;4450;194,6891;867,0881;182,97;8421349
4;775,113891601563;554,655500793457;9;287,8031;True;4450;181,9554;857,0693;140,5473;492120,7
5;780,630981445313;486,849927178025;9;326,9454;True;4450;185,9012;866,5322;108,5796;3903849
6;767,351745605469;460,403896903992;9;342,1006;True;4450;191,8811;859,2328;139,1954;2319621
7;780,660583496094;506,271574538946;9;320,7401;True;4450;189,0249;869,6855;153,3125;326238,3
8;781,806762695313;473,61431415379;9;293,7101;True;4450;188,723;870,5298;168,1205;4806580
9;782,886535644531;547,292099708319;9;363,3253;True;4450;182,2999;865,1865;24,25355;3902407
10;779,507629394531;526,742068916559;9;312,2252;True;4450;181,0967;860,6043;187,6281;6150888
11;777,93994140625;525,641693544388;9;276,9612;True;4450;189,8342;867,7742;152,0292;3457202
12;782,523742675781;607,99266204834;9;276,9612;True;4450;178,311;860,8348;142,063;1038249
13;813,055786132813;544,977222967148;9;241,8642;True;4450;162,4932;875,549;192,2022;1164600
14;787,781860351563;566,508960258961;9;270,3171;True;4450;180,196;867,9779;90,19447;4078579
15;829,36767578125;617,265213012695;9;246,6318;True;4450;138,2048;867,5725;140,0362;801652,1
16;834,433166503906;603,151480591297;9;249,795;True;4450;129,3076;863,7408;152,0942;5646859
17;833,656372070313;605,385061615705;9;246,6318;True;4450;129,2405;862,8969;163,2746;4266696
18;834,928955078125;695,850456237793;9;246,6318;True;4450;133,1448;868,0737;109,7085;5883069
19;830,028930664063;742,513313293457;9;246,5663;True;4450;129,6484;859,6774;169,1095;8418427
20;839,916564941406;695,171573996544;9;245,3537;True;4450;128,6489;868,5655;135,6647;6154271
21;837,266174316406;737,343338084221;9;219,9642;True;4450;124,3975;861,6636;216,0504;1047651
22;843,630126953125;749,8326171875;9;246,757;True;4450;123,5488;867,179;96,09619;7187107
23;828,769653320313;764,04064142704;9;237,6374;True;4450;124,5024;853,2721;205,3239;4913038
24;832,918884277344;700,604829406738;8;248,1389;True;4450;124,7407;857,6596;174,2757;5421139
25;843,760192871094;614,654749393463;9;212,3766;True;4450;123,4658;867,226;213,2903;5642408
26;839,779724121094;676,513314181566;9;237,6374;True;4450;132,21;871,9897;130,8045;5053846
27;841,333801269531;678,058822703362;9;219,7146;True;4450;124,3477;865,6815;143,7815;6665202
28;845,430114746094;717,020225167274;9;241,659;True;4450;122,7549;868,185;164,557;1657170
29;844,050720214844;659,599827837944;9;219,7146;True;4450;123,4482;867,499;240,0773;1,659317E+07
30;842,166564941406;682,680537462234;9;220,3142;True;4450;123,2798;865,4464;162,7752;8869826
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;547,863525390625;130,043757614307;7;351,1783;False;3726,848;183,3624;731,2259;50,29573;210901,2
2;464,288299560547;234,448882824183;10;366,4407;False;2927,53;109,0454;573,3337;-11,97613;45556,09
3;628,545043945313;306,801977067348;10;368,791;False;3989,031;157,4199;785,965;-8,054544;255188,4
4;742,365417480469;346,589615488052;10;388,4779;True;4450;229,4603;871,8257;152,4456;2517953
5;742,249267578125;360,585895034671;10;343,1564;True;4450;229,578;871,8273;150,9753;430262,9
6;742,402404785156;506,767328122258;10;382,6564;True;4450;225,4258;867,8282;138,1567;1465442
7;745,302124023438;452,52130253315;10;382,7964;True;4450;224,8259;870,1281;132,841;396231,7
8;740,112915039063;574,514312267303;10;388,6179;True;4450;225,8914;866,0043;133,9826;3202037
9;736,876708984375;511,358051896095;10;393,4447;True;4450;227,4316;864,3083;141,9673;4851874
10;738,674987792969;540,620489501953;10;365,8152;True;4450;230,1406;868,8156;167,389;5141025
11;815,405090332031;537,959805297852;10;364,2351;True;4450;148,7688;864,1739;170,529;657901,1
12;824,152221679688;606,02469061017;10;364,2351;True;4450;148,1025;872,2548;170,4048;5978490
13;743,718505859375;495,256362915039;10;321,4384;True;4450;224,908;868,6265;151,1421;5865774
14;816,647583007813;539,307338657975;10;366,3939;True;4450;157,7681;874,4156;273,5231;1822619
15;798,136108398438;517,407646942139;9;355,2351;True;4450;156,9072;855,0433;371,8795;549188,1
16;811,697387695313;532,977499389648;9;362,9427;True;4450;158,0969;869,7943;259,8318;3165644
17;795,600219726563;564,073112034798;10;368,5577;True;4450;169,3374;864,9376;173,6243;3745031
18;817,430541992188;464,533606478572;10;368,5577;True;4450;152,8921;870,3226;108,1227;3286863
19;808,062438964844;512,838585400581;10;370,908;True;4450;158,6084;866,6708;179,2763;1135308
20;818,420654296875;623,02239074707;10;398,2886;True;4450;148,7852;867,2058;71,83875;1505143
21;816,739929199219;559,327740478516;10;398,2886;True;4450;144,6206;861,3605;228,4517;536152,6
22;819,443176269531;523,656856024265;10;383,8026;True;4450;144,9434;864,3865;82,57926;5755341
23;797,895202636719;464,173886972666;10;359,9411;True;4450;152,5342;850,4294;79,54079;1193313
24;814,0263671875;614,164576721191;10;378,5176;True;4450;145,1021;859,1284;226,9497;1388728
25;810,076416015625;568,840774536133;9;373,1398;True;4450;154,2017;864,2781;272,1949;2062011
26;790,430908203125;537,608626155183;9;344,6865;True;4450;174,2759;864,7068;77,74966;5177999
27;830,670715332031;545,065428161621;9;334,4459;True;4450;134,0762;864,7469;174,963;3249314
28;805,992553710938;553,845803308487;9;312,6805;True;4450;154,7168;860,7094;170,163;422958,2
29;811,13916015625;494,771457827091;9;261,7838;True;4450;158,3701;869,5093;161,1753;5427166
30;842,166564941406;682,680537462234;9;220,3142;True;4450;123,2798;865,4464;162,7752;8869826
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;738,827880859375;155,187755361572;10;305,2272;True;4450;222,77;861,5978;104,5284;1359909
2;447,903076171875;165,908902822435;9;296,797;False;3062,308;152,6532;600,5563;-18,82759;122757,1
3;747,099609375;351,15928849671;9;301,1779;True;4450;224,831;871,9306;132,9203;6475906
4;780,344787597656;498,565288561583;10;357,0101;True;4450;191,3304;871,6752;87,6574;1213348
5;775,272094726563;406,537903380394;10;357,0101;True;4450;182,9585;858,2306;174,0013;408412,8
6;769,421508789063;522,454202461243;9;296,4476;True;4450;183,6151;853,0366;169,8294;7497283
7;762,995300292969;489,099499511719;9;311,2534;True;4450;197,0665;860,0618;164,5313;3088481
8;759,702514648438;484,556329345703;9;307,0459;True;4450;206,1263;865,8289;160,0704;3520395
9;753,651123046875;486,880777847767;9;301,6426;True;4450;206,6677;860,3188;125,5686;6071048
10;759,824951171875;523,350530812889;9;301,6426;True;4450;202,5984;862,4233;73,74648;5584574
11;752,110046386719;521,023995018005;9;305,7003;True;4450;215,3027;867,4128;72,50952;4713600
12;750,287048339844;440,457826524973;9;305,7003;True;4450;211,2456;861,5327;160,824;2164929
13;764,836120605469;633,17151381243;9;305,7003;True;4450;200,5164;865,3525;73,74827;4079154
14;808,817138671875;631,410456681252;9;305,7003;True;4450;154,5454;863,3625;117,7289;569466,6
15;807,033569335938;438,360045075417;9;296,1327;True;4450;151,0127;858,0463;237,5574;1685567
16;807,730651855469;505,010955655575;9;315,4484;True;4450;147,7368;855,4675;194,4884;5092528
17;816,037902832031;560,039092385769;9;296,1327;True;4450;149,6748;865,7127;138,4014;4002017
18;832,9599609375;583,241462045908;9;296,1327;True;4450;138,2061;871,166;136,6394;1583833
19;811,919555664063;629,142977905273;9;311,8454;True;4450;136,647;848,5665;65,76513;3144139
20;818,731201171875;574,153681945801;9;297,3405;True;4450;148,2993;867,0305;142,9257;2806877
21;811,596740722656;655,812069249153;9;289,3922;True;4450;149,4966;861,0933;-9,363798;4940477
22;821,750427246094;669,941613769531;9;289,3922;True;4450;135,3579;857,1083;120,3316;1629636
23;826,35400390625;619,073861455917;9;300,0534;True;4450;130,6699;857,0239;124,7292;4692962
24;825,479919433594;580,120106554031;9;289,3922;True;4450;143,1304;868,6103;63,59888;2524099
25;825,130004882813;658,530551147461;9;310,5064;True;4450;139,3911;864,5211;86,10064;1267603
26;835,251586914063;559,984755861759;9;298,3597;True;4450;128,5283;863,7799;113,9765;2319254
27;839,261047363281;626,168741416931;9;298,3597;True;4450;107,2813;846,5423;121,4304;542255,4
28;839,786437988281;766,051399230957;8;259,196;True;4450;120,2983;860,0848;209,2888;2356861
29;840,362487792969;686,543976974487;9;296,6494;True;4450;120,2236;860,5861;144,9933;9671940
30;836,120971679688;701,599922180176;9;310,5064;True;4450;124,0444;860,1654;171,612;9484134
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;438,924865722656;130,268125271797;9;351,1262;False;2949,023;141,7486;580,6735;26,20659;134804,3
2;753,424926757813;278,483672654629;10;347,4373;True;4450;203,2192;856,6441;101,1386;3835105
3;765,042053222656;345,621108472347;10;347,4373;True;4450;208,4042;873,4463;95,7727;705579,9
4;765,005126953125;360,882466304302;10;323,5765;True;4450;200,344;865,3491;140,2225;2144351
5;767,04150390625;365,145690053701;10;323,5765;True;4450;196,0403;863,0818;115,8318;1698115
6;778,841613769531;450,410146987438;10;315,5035;True;4450;185,2365;864,0781;132,6868;1222867
7;783,120422363281;392,204523611069;10;315,5035;True;4450;183,0969;866,2173;22,39912;8247832
8;794,062805175781;556,146549677849;10;317,7709;True;4450;174,5725;868,6353;77,14739;6020764
9;802,37255859375;568,429512786865;10;315,5035;True;4450;173,1707;875,5432;94,76424;8926895
10;796,957885742188;510,981030454719;10;356,3557;True;4450;169,457;866,4149;168,5277;4762563
11;794,08203125;535,222358367592;10;321,2512;True;4450;169,4648;863,5469;181,3041;1071443
12;795,765075683594;456,815416967869;10;270,4405;True;4450;173,5313;869,2963;50,77746;1112683
13;817,710144042969;493,392001397535;10;270,4405;True;4450;149,0122;866,7224;206,5777;2183279
14;806,971435546875;581,216426086426;10;270,4405;True;4450;159,1514;866,1228;169,3036;2402856
15;811,945983886719;445,038934758399;10;237,4926;True;4450;163,2207;875,1667;70,14954;4750946
16;818,754333496094;608,31471862793;10;300,1772;True;4450;148,6575;867,4118;189,049;4078820
17;813,396667480469;666,300061035156;10;300,1772;True;4450;145,5542;858,9509;123,5678;4264338
18;813,853393554688;596,716456329823;10;269,243;True;4450;153,5542;867,4076;164,2088;2553695
19;806,155151367188;497,683548069;10;269,1152;True;4450;141,6636;847,8187;105,8021;2426733
20;811,013977050781;659,259660339355;10;269,1152;True;4450;149,6685;860,6824;16,43901;4899154
21;817,146179199219;668,293011474609;10;268,8532;True;4450;148,8657;866,0119;84,96682;8770160
22;809,796142578125;658,190661621094;10;270,9627;True;4450;154,1182;863,9143;47,4821;1549125
23;815,004760742188;666,363993835449;10;270,7755;True;4450;149,2207;864,2255;129,259;1,650796E+07
24;819,0224609375;692,746374511719;10;266,2296;True;4450;140,9458;859,9683;154,165;7267230
25;820,232116699219;557,933665680885;10;266,8328;True;4450;144,377;864,6091;143,0042;7291017
26;837,25732421875;733,932545471191;10;266,8328;True;4450;128,7134;865,9707;115,6671;1,366133E+07
27;826,860595703125;685,826411437988;10;263,9542;True;4450;143,5537;870,4143;87,17179;1,172155E+07
28;822,094116210938;756,262651062012;10;271,5673;True;4450;139,3477;861,4418;71,01001;3292611
29;824,140563964844;678,164825439453;10;240,4881;True;4450;139,1157;863,2563;136,2699;1,391197E+07
30;824,072143554688;560,901939940453;10;271,9086;True;4450;139,377;863,4491;75,65553;781216,8
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;759.357971191406;224.4432770513;10;272.2115;True;4450;205.9858;865.3438;119.5691;2159101
2;766.798400878906;471.400311148167;10;260.1486;True;4450;191.7365;858.5349;36.04196;2571448
3;800.456115722656;681.926928710938;8;311.9084;True;4450;153.4283;853.8845;106.7347;8275015
4;788.967590332031;562.646816754341;10;253.5592;True;4450;153.4749;842.4424;40.17822;7689258
5;795.720703125;581.65408371985;8;322.7804;True;4450;169.8306;865.5513;131.7812;4771527
6;799.203308105469;583.629509687424;10;257.4172;True;4450;147.3452;846.5485;72.03329;1506299
7;777.96484375;543.492125761509;10;236.8584;True;4450;176.7083;854.6731;109.8794;6136248
8;789.599426269531;630.95910949707;10;261.3352;True;4450;162.4453;852.0447;131.9019;1.302783E+07
9;813.380981445313;621.752904939651;10;230.2133;True;4450;140.4989;853.8799;137.9518;5297580
10;805.505798339844;659.781553649902;10;230.2133;True;4450;151.3066;856.8124;111.7127;3318328
11;805.265197753906;718.00115814209;10;233.3632;True;4450;151.7637;857.0289;122.0884;3609192
12;790.533325195313;587.650087547302;10;230.2133;True;4450;153.2368;843.7701;94.10944;4716986
13;802.148559570313;681.661239624023;10;233.3632;True;4450;146.3831;848.5316;33.40899;2096142
14;802.817321777344;583.440145273507;10;200.2788;True;4450;141.6958;844.5131;68.58547;3193905
15;809.172912597656;666.738758850098;10;200.2788;True;4450;154.5193;863.6922;114.4774;3242187
16;825.366271972656;650.869184197485;10;216.8206;True;4450;130.4119;855.7781;180.5618;3154065
17;826.581298828125;692.03184967041;10;220.336;True;4450;121.7295;848.3108;132.5779;3035280
18;815.247497558594;679.951183700562;10;216.8206;True;4450;131.7817;847.0292;92.51216;858786.1
19;817.856323242188;685.911051940918;10;233.9671;True;4450;131.0012;848.8575;91.28195;3184822
20;806.796203613281;631.655151367188;10;215.5468;True;4450;128.0815;834.8777;131.9404;620515.6
21;831.121520996094;583.847262042016;10;189.5837;True;4450;120.5513;851.6728;144.6666;3086027
22;823.911071777344;777.822952270508;10;189.5837;True;4450;120.9951;844.9062;126.2444;346920.1
23;823.206970214844;712.163894033432;10;189.5837;True;4450;130.063;853.27;92.48103;1604717
24;831.207153320313;748.092008972168;10;233.4059;True;4450;124.7515;855.9586;84.90737;319203.9
25;826.023315429688;599.20142759271;10;234.6796;True;4450;125.9497;851.973;81.10525;563249.5
26;821.862609863281;700.271592640877;10;233.4059;True;4450;125.999;847.8616;111.6805;5017399
27;843.952575683594;739.953291320801;10;233.4059;True;4450;123.5649;867.5175;52.34792;5259956
28;820.269409179688;651.018293762207;10;233.4059;True;4450;125.9165;846.1859;100.4721;685926.3
29;806.419067382813;670.863692724705;10;234.9333;True;4450;132.3145;838.7335;54.50819;9313880
30;814.003295898438;617.038243639469;10;209.3496;True;4450;127.2368;841.2401;78.28942;157247.6
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;756.887512207031;144.747791257501;9;294.1516;True;4450;198.7459;855.6334;76.3084;4172319
2;745.463012695313;303.6209233284;9;294.1516;True;4450;195.4467;840.9097;43.86702;3064190
3;725.828002929688;413.588585543633;10;277.1459;True;4450;197.4752;823.3032;30.11966;4583375
4;720.496887207031;533.941469287872;9;283.8788;True;4450;159.0352;779.5321;44.14214;298707.5
5;758.702453613281;530.271306869388;9;283.8788;True;4450;167.9954;826.6978;47.7739;776527.3
6;726.650024414063;531.204511600733;9;283.8788;True;4450;166.3182;792.9683;26.94366;2671542
7;728.525573730469;617.350048828125;9;298.5589;True;4450;163.2223;791.7479;32.88766;1147899
8;751.271301269531;562.893540370464;9;283.8788;True;4450;171.2976;822.5689;14.37462;1752174
9;749.946228027344;651.219659423828;9;298.5331;True;4450;167.9717;817.9179;37.55222;1166260
10;786.812194824219;625.861192259192;10;279.7491;True;4450;144.4707;831.2829;64.41879;3357852
11;808.003784179688;607.995707702637;10;279.7491;True;4450;146.179;854.1827;51.21993;6341378
12;789.470886230469;594.433087539673;10;278.0527;True;4450;149.3362;838.8071;51.27064;1.057343E+07
13;799.53173828125;620.108465266228;10;322.9831;True;4450;142.0608;841.5925;50.15751;7545325
14;772.271057128906;682.222570800781;10;322.9831;True;4450;150.8643;823.1353;105.8484;1625691
15;801.479553222656;656.878976726532;10;307.4354;True;4450;151.4805;852.96;66.00512;1602127
16;787.135986328125;581.300588607788;10;315.4671;True;4450;148.2546;835.3906;60.59782;2596532
17;787.611450195313;641.047841310501;10;307.3911;True;4450;147.9336;835.545;94.56889;1226303
18;795.353576660156;540.916513514519;10;307.3911;True;4450;156.2703;851.6238;75.65982;476463
19;790.173522949219;609.582649230957;10;307.4354;True;4450;148.0842;838.2578;121.7282;1.074483E+07
20;798.772033691406;670.369300842285;10;303.2933;True;4450;139.125;837.897;54.57228;7747987
21;800.206604003906;613.691745615006;10;326.9992;True;4450;146.4307;846.6373;74.50808;6113177
22;799.234558105469;579.378042411804;10;294.5609;True;4450;133.2759;832.5104;20.25765;1.029245E+07
23;822.32568359375;635.534680783749;10;294.5609;True;4450;125.5493;847.875;68.95087;4662177
24;817.920776367188;592.758608078957;10;284.5387;True;4450;130.9282;848.849;2.47629;3018724
25;812.923217773438;520.176671802998;10;291.1222;True;4450;126.501;839.4242;72.9435;2815951
26;793.271423339844;603.243941879272;10;299.7193;True;4450;133.5308;826.8022;42.98607;1.888376E+07
27;783.393432617188;648.607243895531;10;307.4117;True;4450;131.1685;814.5619;34.91859;2.486786E+07
28;795.075012207031;559.439658927917;10;299.7193;True;4450;124.5249;819.5999;62.17582;9183654
29;786.760375976563;571.437329101562;10;302.4048;True;4450;133.0757;819.8361;49.97531;9873903
30;800.334350585938;642.857761192322;10;288.7172;True;4450;123.9155;824.2499;55.19333;7530979
#
