Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;2132,7080078125;449,807796120644;10;451,3391;True;2280;50,90491;709,4681;225,848;1,483749E+07
2;1701,62048339844;659,102147465944;10;451,3391;False;2075,884;47,64018;669,3045;48,25834;666121,6
3;2186,55444335938;1155,47005892098;10;467,6821;True;2280;48,43694;729,785;426,3677;1,643002E+07
4;2180,66650390625;1293,2890668869;10;469,9812;True;2280;45,84573;716,437;580,0478;3,013747E+07
5;2211,5849609375;1081,82782592773;10;460,4423;True;2280;45,21988;731,1801;528,9731;1,105291E+07
6;2133,59228515625;1235,28785018921;10;451,3391;True;2280;52,5795;716,4715;398,3455;2,172143E+07
7;2204,16235351563;1411,95123271942;10;472,0345;True;2280;45,5614;728,3845;445,4589;2,973249E+07
8;2157,55102539063;1320,15204544067;10;450,2458;True;2280;47,04932;708,2756;498,3179;4706160
9;1832,55090332031;1167,74165344238;10;426,9309;False;2254,369;54,40857;728,7018;-128,303;135743,9
10;2212,287109375;1503,35975036621;10;450,2458;True;2280;43,09698;723,3145;337,7128;1,441349E+07
11;2198,05639648438;1455,24013299942;10;472,882;True;2280;43,31769;716,2668;379,9601;2,303278E+07
12;2220,03198242188;1506,98898925781;10;460,174;True;2280;45,07538;735,3109;385,3654;1139362
13;2209,78344726563;1577,99133911133;10;460,174;True;2280;45,26996;730,374;383,0532;5981524
14;2234,11767578125;1554,08196868896;10;446,4529;True;2280;42,14551;731,7423;510,8864;9798925
15;2202,11987304688;1520,60124877095;10;460,174;True;2280;42,81934;716,5863;604,5234;2,321599E+07
16;2176,17700195313;1446,98258361816;10;475,8427;True;2280;46,40662;716,1241;471,8966;6073360
17;2156,54931640625;1599,10080566406;10;409,9265;True;2280;54,44507;736,4804;288,9077;1960056
18;2204,29345703125;1492,56632194519;10;425,0933;True;2280;45,44568;728,0074;468,2588;7897359
19;2230,23828125;1597,47560520172;10;454,3214;True;2280;42,14404;729,5815;562,6686;1,738192E+07
20;2228,59033203125;1526,81245070845;10;407,4275;True;2280;42,1925;728,8544;550,6481;2307015
21;2211,66259765625;1583,65981521606;10;407,4275;True;2280;42,64893;721,2251;531,4811;4117584
22;2241,98413085938;1717,48317871094;10;407,4275;True;2280;42,13892;736,0869;470,8511;1,8066E+07
23;2233,46752929688;1849,87637329102;10;407,4275;True;2280;42,42542;732,4697;479,5284;438636,9
24;2215,50708007813;1672,55028686523;10;439,0492;True;2280;42,58472;723,1111;471,1379;5606696
25;2206,46240234375;1364,55197086334;10;426,2558;True;2280;45,53723;729,5684;415,6922;2,620147E+07
26;2201,54809570313;1547,4508266449;10;440,6771;True;2280;40,16089;705,9302;607,4926;919427,4
27;2243,76123046875;1613,37678527832;10;440,6771;True;2280;41,84424;735,9283;648,6371;1,78218E+07
28;2235,818359375;1774,14446411133;10;433,4766;True;2280;39,27075;721,5076;644,195;2,06926E+07
29;2244,43383789063;1425,06952730268;10;400,8242;True;2280;41,8894;736,4777;539,0407;6923394
30;2211,50463867188;1638,06247692108;10;440,6771;True;2280;39,78198;709,988;674,676;2,225874E+07
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1561,9931640625;193,954868023843;8;407,5981;False;1959,2;52,48214;636,4934;-14,26027;209036,6
2;1649,24853515625;625,778172994219;10;393,0946;False;1990,327;44,19172;645,8109;144,4722;427602
3;1673,50476074219;619,406821632385;10;371,9682;False;2073,921;52,57898;673,3274;-60,82732;57401,46
4;2233,93579101563;1072,64240399003;8;422,9855;True;2280;42,49515;733,001;486,7795;3357969
5;2193,68603515625;1108,98163478971;9;439,1731;True;2280;43,03604;712,7435;558,0833;1,354793E+07
6;2150,22680664063;1407,47013092041;9;439,1731;True;2280;52,62329;725,8832;274,5753;7362388
7;2232,99609375;1492,47639755607;9;437,998;True;2280;42,17096;731,2182;513,8831;1,770992E+07
8;2239,07080078125;1743,04397163391;9;396,2151;True;2280;41,94122;733,6996;516,2412;7128833
9;2229,63549804688;1740,12557229996;8;392,2655;True;2280;44,77472;739,4769;539,8671;1,548558E+07
10;2226,9013671875;1687,58027243614;8;422,8853;True;2280;42,27679;728,2439;503,175;6736029
11;2260,24682617188;1728,55429382324;8;308,8269;True;2280;38,82916;733,3617;688,3806;2908945
12;2232,5;1563,6777818501;9;400,4714;True;2280;42,20966;731,0931;530,3015;1,411262E+07
13;2226,1015625;1398,44588680267;8;369,9638;True;2280;42,26361;727,7483;580,3383;7563260
14;2244,35473632813;1615,80235317945;8;369,9638;True;2280;41,94031;736,6317;552,235;1944293
15;2192,47290039063;1511,0040312767;8;375,1932;True;2280;43,30554;713,1177;526,0748;2577933
16;2232,13354492188;1635,83901391625;8;378,1293;True;2280;42,09888;730,4587;668,9061;2129875
17;2215,90478515625;1405,1401594758;8;347,1019;True;2280;42,4325;722,7402;646,299;7818646
18;2239,63061523438;1266,60994960666;8;383,4735;True;2280;41,99219;734,2088;493,7099;1,77132E+07
19;2200,9775390625;1474,41404724121;8;350,2419;True;2280;42,73901;715,6392;610,1902;5953388
20;2192,541015625;1745,00099182129;8;350,2419;True;2280;43,12451;712,4515;562,1229;7024689
21;2195,9716796875;1419,33547496796;8;389,5711;True;2280;43,0271;713,9785;546,8755;2,542204E+07
22;2217,44458007813;1453,78395068943;8;382,1614;True;2280;42,58276;724,1799;426,3384;2,718679E+07
23;2171,4140625;1390,26593478322;8;389,5711;True;2280;47,61438;718,1749;486,7078;1,119471E+07
24;2218,47729492188;1382,31206216812;8;389,5711;True;2280;39,69373;713,5186;744,9311;6583807
25;2220,32958984375;1539,25230712891;7;380,5711;True;2280;42,39185;725,0403;527,4058;4709641
26;2209,43481445313;1538,95406894684;8;389,5711;True;2280;45,35071;730,4943;360,2628;3824695
27;2188,81396484375;1569,97193088532;7;379,2682;True;2280;50,78809;740,1837;247,7136;2623475
28;2196,20849609375;1451,5404517889;8;395,3894;True;2280;43,06641;714,263;535,9381;2,400468E+07
29;2160,52124023438;1644,04821777344;8;352,4022;True;2280;44,26685;699,1051;428,6772;1,869594E+07
30;2238,89916992188;1493,29901103973;8;352,4022;True;2280;41,98608;733,7787;494,7937;4559669
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1050,36328125;261,368007133156;10;375,3995;False;1377,132;42,25195;441,8189;33,88252;117862,8
2;1369,01904296875;478,739336351305;10;327,3877;False;1733,736;47,53918;560,166;-110,6781;80765,02
3;1745,17297363281;688,452926957607;10;367,8252;False;2117,147;47,9767;685,6395;-34,42607;300469
4;2191,755859375;1080,56298880875;10;367,8252;True;2280;40,4949;701,789;581,7327;686227,6
5;2219,982421875;1287,42191028595;10;333,3921;True;2280;42,46423;725,1289;471,0721;1,721269E+07
6;2200,17651367188;1137,49798658341;10;374,3671;True;2280;45,66638;726,5784;319,9808;9265217
7;2256,04077148438;1479,39862985015;10;374,3671;True;2280;41,59607;741,7851;604,0712;1,683818E+07
8;2233,5498046875;1482,12771129608;10;374,3671;True;2280;42,19312;731,612;615,7399;3572436
9;2248,58154296875;1267,88289852142;10;354,7313;True;2280;41,83691;738,5777;635,8029;4275033
10;2198,55786132813;1556,11504125595;10;359,4732;True;2280;45,60229;725,4299;456,3123;1,538783E+07
11;2195,86450195313;1617,72971801758;10;359,8431;True;2280;48,22864;734,1472;330,6798;1,575182E+07
12;2235,98999023438;1521,55894374847;10;359,8431;True;2280;42,0683;732,4823;527,2055;6361237
13;2210,3330078125;1309,9611374855;10;359,8431;True;2280;43,20154;722,6354;445,9471;1,025225E+07
14;2220,33642578125;1448,32943615913;10;359,8431;True;2280;42,39258;725,0469;637,4318;4490365
15;2215,75805664063;1793,6124206543;10;358,4026;True;2280;42,83594;724,2275;512,1253;9976414
16;2228,77270507813;1472,91524658203;10;354,7589;True;2280;42,26233;729,2272;534,4412;1,058017E+07
17;2203,84155273438;1875,56216430664;10;362,0817;True;2280;42,57922;716,609;669,03;1,012548E+07
