Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1823.0068359375;360.463657265902;9;313.9377;False;1823.007;46.26679;559.3604;-30.07292;25152.99
2;2117.45776367188;837.716629326344;10;434.3792;False;2117.458;51.43047;616.4513;4.33413;357862.6
3;1984.06005859375;917.363893014193;10;436.1032;False;1984.06;44.67445;568.4395;23.21881;414680.6
4;2028.82788085938;1084.63194844723;9;273.1076;False;2028.828;46.79535;584.8655;-8.961224;301637.8
5;1947.08337402344;957.221780204773;9;281.3417;False;1947.083;47.54572;531.4035;-12.8889;351311.9
6;1900.75390625;1168.26286207438;8;319.6552;False;1900.754;53.68372;554.8108;7.567574;267315.3
7;2207.59912109375;1245.86993519664;8;315.653;False;2207.599;58.86011;631.3954;-10.02787;347010.5
8;2280;1438.66408485174;9;316.4758;True;2280;40.93561;639.8063;85.19798;1.411517E+07
9;2280;1533.80199279785;9;310.9667;True;2280;46.36981;673.0759;70.74921;1.148306E+07
10;2210.84252929688;1543.09194831848;9;310.9667;False;2210.843;61.83069;617.749;-56.54568;12835.15
11;2280;1250.00780233145;8;340.189;True;2280;45.11877;680.7063;82.86751;2.403231E+07
12;2280;1404.71393828392;9;344.5967;True;2280;46.07361;617.7802;56.05887;1489252
13;1907.78796386719;1013.71349835396;8;342.5162;False;1907.788;45.01068;546.6895;-4.442812;13176.48
14;2280;1466.94867526293;9;310.8936;True;2280;42.59473;610.1071;92.44695;1.472877E+07
15;2280;1388.62379965782;9;426.9619;True;2280;42.36304;653.1465;129.6255;2.479306E+07
16;2280;1449.39059556723;7;386.2852;True;2280;46.61658;667.3041;48.3792;1347719
17;2280;1180.2821698904;8;359.2895;True;2280;40.91455;618.2416;118.0083;7181849
18;2280;1596.07352561951;9;397.2939;True;2280;47.36597;653.5839;68.21398;1355890
19;2280;1529.11694850922;9;424.1927;True;2280;51.60144;643.9341;29.86593;3559958
20;2280;1466.33147450686;10;381.4513;True;2280;47.66028;650.1888;27.5064;2.183201E+07
21;2280;1831.11829749346;9;341.7023;True;2280;42.53503;661.2452;94.54145;1.487287E+07
22;2280;1611.72801403999;9;374.5701;True;2280;45.14087;703.8599;56.71236;8295325
23;2280;1957.34396371841;9;374.5701;True;2280;40.93018;641.8192;99.78078;1.070208E+07
24;2280;1614.36870274544;9;393.4709;True;2280;44.13245;692.2173;109.44;2.588376E+07
25;2280;1509.11620497704;9;402.6771;True;2280;42.27869;673.4308;112.2928;2.263896E+07
26;2280;1825.69499443769;8;409.0228;True;2280;40.36792;642.3418;119.2149;4501967
27;2280;1891.94125671387;8;353.5117;True;2280;44.07007;661.7927;80.03612;7454041
28;2280;1657.83801469803;8;368.8697;True;2280;42.38525;638.3906;49.53734;1.490655E+07
29;2280;1477.15932936668;9;358.0807;True;2280;44.69824;688.9977;89.29844;4684754
30;2280;1813.86559448242;8;399.2774;True;2280;41.427;682.6699;130.6798;1.425288E+07
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1534.01843261719;256.737328740954;10;399.4494;False;1534.018;44.23756;453.522;8.803655;379701.7
2;1571.14599609375;553.923836937547;8;335.204;False;1571.146;40.93523;461.8513;20.3172;157633.4
3;1657.04089355469;824.76555917263;9;308.8881;False;1657.041;36.3075;514.4683;4.481236;20724.08
4;1531.14807128906;891.876342153549;7;292.5837;False;1531.148;35.55493;410.4329;3.518468;224802.8
5;2280;1052.15582460463;9;281.8918;True;2280;44.70563;632.5701;55.48781;3492564
6;1732.447265625;1012.66709603071;8;305.1151;False;1732.447;43.3255;497.3481;5.981924;87712.38
7;2032.23608398438;856.944102916121;9;271.1555;False;2032.236;47.21301;559.451;14.95175;417986.6
8;2280;1345.20778899193;9;271.1555;True;2280;45.33972;733.5421;56.12437;7468629
9;2280;1201.35792306662;8;269.7991;True;2280;52.19177;674.8013;-36.85538;587217.5
10;2076.95263671875;983.535922111571;8;285.452;False;2076.953;46.815;609.3005;-6.233425;206295.6
11;2280;1092.83192300797;8;273.5081;True;2280;45.22333;625.9379;56.82567;4362560
12;1822.6748046875;1074.4654982686;7;262.0856;False;1822.675;41.04596;547.197;9.514765;537355.2
13;2280;1291.4218418777;9;333.4233;True;2280;47.75537;709.488;56.45487;1.196544E+07
14;2073.33911132813;856.946353363991;8;287.1137;False;2073.339;46.02588;672.8559;13.17187;1071269
15;2248.95288085938;727.207160186768;7;299.3502;False;2248.953;43.35669;637.916;46.7885;1162008
16;2074.21313476563;1034.22219758034;9;290.7171;False;2074.213;57.34631;599.3525;-25.58663;105698.3
17;2280;1531.09618110657;9;339.5431;True;2280;46.38782;734.8443;41.75805;2247418
18;2074.65502929688;1217.70422922373;8;273.1664;False;2074.655;50.58655;595.3194;-22.03178;1188257
19;2280;1293.0103523016;7;332.1507;True;2280;45.09424;634.1824;45.94636;8446358
20;2280;1734.68616747856;9;350.1507;True;2280;48.05139;658.9154;9.990376;4795491
21;2280;1479.75024962425;9;288.4592;True;2280;41.39209;626.7913;91.95997;8045733
22;2280;1621.78154907227;9;340.7741;True;2280;41.71106;618.918;92.48004;420420.8
23;2280;1487.75683603287;9;345.1607;True;2280;48.71948;646.1274;25.10291;6373808
24;2280;1651.07265741825;9;326.7724;True;2280;39.77271;595.2137;104.6854;1.619139E+07
25;2280;1578.98188290596;9;347.709;True;2280;52.39746;654.7053;-20.27764;8195442
26;2280;1170.18987376094;9;344.7052;True;2280;42.18518;669.3742;105.4108;1972810
27;2280;1467.81299057007;8;379.564;True;2280;41.70239;638.118;77.22264;5239057
28;2280;1582.62199257612;9;259.1235;True;2280;48.46606;649.3099;13.30006;2060828
29;2280;1694.58753637075;9;272.4339;True;2280;45.89575;673.9004;89.72207;8131121
30;2280;1772.95050506592;9;227.8594;True;2280;39.8584;650.1779;97.64117;9800612
#
