Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;2031.61389160156;464.338921737671;9;364.517;False;2031.614;47.32438;633.4564;-32.54299;39984.72
2;2280;803.400321125984;9;362.1499;True;2280;43.9225;706.699;93.21037;2595186
3;2246.66772460938;926.000972366333;9;362.1499;False;2246.668;53.69128;656.7946;-11.21358;466404.8
4;2280;1033.1301935792;8;346.1933;True;2280;44.63821;646.6263;27.3538;2.099406E+07
5;2212.79809570313;985.899727919698;9;325.7534;False;2212.798;49.01306;677.7594;-25.45066;12419.88
6;2280;1303.56982647479;7;321.0273;True;2280;45.21375;632.1813;80.26579;2059007
7;2280;990.069010710716;7;321.0273;True;2280;52.39581;666.4611;6.430298;6860623
8;2280;1315.10260987282;8;329.3948;True;2280;47.33252;643.2421;12.85111;8578133
9;2280;1171.88482476473;9;341.7212;True;2280;47.73334;650.3792;73.07438;2036855
10;2280;1608.39198482037;9;341.7212;True;2280;46.255;664.4654;48.15365;1507141
11;2280;1233.31769667864;9;341.7212;True;2280;43.11017;659.3358;90.66405;9492806
12;2280;1379.41212484837;7;409.3025;True;2280;41.48206;615.1555;126.4775;8896517
13;2280;1330.18824983835;7;409.3025;True;2280;44.27612;634.819;77.04198;3156237
14;2280;1629.16941833496;6;333.5651;True;2280;49.93408;670.5608;52.80512;9374577
15;2280;1413.31335831285;10;250.257;True;2280;48.31348;631.8535;74.75056;8021999
16;2280;1629.17479957938;10;250.257;True;2280;42.32605;663.5551;128.2186;1.446296E+07
17;2280;795.882981079817;9;244.5938;True;2280;60.71863;685.4636;-8.0063;8505927
18;2280;1324.24941338599;6;293.3672;True;2280;49.16125;645.4778;46.05016;8153431
19;2280;1239.15253438354;7;299.095;True;2280;44.89978;648.5571;73.74673;2.152294E+07
20;2280;1638.21385464072;7;299.095;True;2280;53.85474;643.0381;9.226766;2517906
21;2280;1488.94172846079;9;309.9138;True;2280;44.23608;630.7;79.92065;7319887
22;2280;1464.22398109436;7;302.3672;True;2280;54.20068;653.5563;55.27212;1.335529E+07
23;2280;1756.65667724609;9;262.8702;True;2280;46.56262;602.1178;48.32712;1.582572E+07
24;2280;1751.8224822998;8;295.3318;True;2280;44.43347;582.0166;74.4416;1.650406E+07
25;2280;1297.96045994759;9;292.5082;True;2280;39.86841;645.687;134.3681;2.181377E+07
26;2280;1551.96000816822;9;271.3972;True;2280;47.2782;647.915;52.74226;1.049323E+07
27;2280;1667.56487731934;9;271.3972;True;2280;44.49011;626.8228;74.56709;1.45582E+07
28;2280;1513.85444815159;9;236.3621;True;2280;47.09131;648.9041;92.78553;2.096871E+07
29;2280;1350.59508862495;8;344.0593;True;2280;47.80078;653.3442;35.9604;2546043
30;2280;1381.80379955769;8;344.0593;True;2280;39.98755;651.7365;75.16345;1.913104E+07
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1379.48999023438;357.236461080611;9;332.2897;False;1379.49;60.55363;419.4621;-2.485487;56875.94
2;1694.62084960938;757.123709094524;9;332.2897;False;1694.621;55.19825;505.5728;-38.2279;166441.1
3;1739.37780761719;865.530535933375;8;295.3072;False;1739.378;44.95667;522.3983;4.941935;29588.31
4;2280;1019.52052302361;9;334.3383;True;2280;47.93079;640.5151;84.08141;1155389
5;1860.35095214844;1018.06868891716;7;315.8073;False;1860.351;45.60846;542.967;-2.117857;215939.9
6;2280;1318.06027585864;9;334.3383;True;2280;50.43164;611.1516;31.0726;3868408
7;2280;1111.69126205444;9;253.6055;True;2280;41.5296;566.3218;82.59911;1.008E+07
8;2280;1014.92518091798;10;311.6306;True;2280;46.39014;667.554;93.08028;1.053135E+07
9;2035.73522949219;1111.02742284536;8;435.5404;False;2035.735;50.50916;593.2686;-28.40606;19836.13
10;1983.98583984375;1056.99680637717;5;371.6325;False;1983.986;50.30103;569.8971;-28.42416;121790.5
11;2280;1214.942715168;8;299.492;True;2280;48.32953;647.6212;66.73849;3184941
12;2280;1186.50674003363;9;363.1812;True;2280;49.18793;627.2872;45.48645;4981874
13;2280;1100.45707843304;9;303.7538;True;2280;50.38721;678.4427;44.02456;6950492
14;2070.03173828125;1284.45722332895;8;292.7878;False;2070.032;53.21765;611.5555;-24.24201;712811.2
15;2280;1031.8322255671;8;292.7878;True;2280;52.74939;642.1105;36.06096;3230865
16;2163.79296875;1192.62136902809;7;324.2895;False;2163.793;49.62231;584.2225;-29.87969;313560.5
17;2072.41552734375;1191.90654427856;8;314.4182;False;2072.416;46.29919;584.8512;0.6630441;321734.3
18;2280;1209.70180950761;9;283.1796;True;2280;45.70178;640.5577;53.95245;1.172025E+07
19;2280;1233.5859584868;7;376.2802;True;2280;45.96021;684.2606;58.18962;2668193
20;2280;1318.57862016559;7;376.2802;True;2280;40.82605;640.7727;91.90869;4183468
21;2161.32739257813;1200.91060069799;9;281.8474;False;2161.327;44.25745;582.3591;4.077519;456624.1
22;2280;1354.80207050443;9;415.5613;True;2280;46.10205;667.265;61.03815;1.473734E+07
23;2280;1297.05129928589;9;415.5613;True;2280;42.80261;601.1478;105.5364;2.016142E+07
24;2280;1498.16052217484;9;415.5613;True;2280;43.23901;599.966;96.18459;1.538034E+07
25;2280;1323.80589360595;9;324.4753;True;2280;45.90405;666.7837;103.4509;8319981
26;2280;1631.94909210205;9;423.1554;True;2280;44.5343;555.0889;89.73045;4522499
27;2280;1496.1358391583;9;423.1554;True;2280;48.2843;693.3251;81.04057;8417876
28;2280;1230.81077185571;9;423.1554;True;2280;42.79956;666.4986;111.6027;1510961
29;2280;1176.50444797575;9;423.1554;True;2280;43.68384;652.4001;153.0254;1.553267E+07
30;2280;1451.52279791832;8;410.4212;True;2280;49.23877;624.803;80.44882;6907872
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1656.08972167969;345.72394374311;10;266.0481;False;1656.09;46.55898;499.5338;-11.78798;26512.88
2;1380.79760742188;590.168536055088;10;273.295;False;1380.798;37.9521;417.2896;-23.56073;13387.27
3;2280;1161.94090928435;9;365.7407;True;2280;40.35635;637.0618;105.8899;1.225366E+07
4;1905.13806152344;1013.00126411617;10;253.8197;False;1905.138;46.82681;551.9615;-49.3311;113860.5
5;1855.79260253906;985.137281283736;9;378.3665;False;1855.793;45.52499;564.8412;29.77715;568354.3
6;2253.47900390625;1201.26026827991;9;382.8169;False;2253.479;41.87488;672.4063;9.405712;17445.12
7;2280;1208.54421188533;9;377.8161;True;2280;47.22369;661.9019;-43.90129;8910616
8;2280;1127.45710436702;9;377.8161;True;2280;44.63055;649.3774;73.2719;5115178
9;2280;1481.29586486816;9;387.1906;True;2280;43.53943;599.1588;73.37265;5357871
10;2280;1469.83849698305;8;408.8261;True;2280;41.70404;618.9203;90.95366;1.564506E+07
11;2280;1593.22789806277;9;447.2797;True;2280;39.80951;573.7815;127.0067;3324052
12;2280;1586.72584705353;9;447.2797;True;2280;44.22571;645.5464;70.07639;6103531
13;2280;1405.0796979785;8;361.2625;True;2280;48.6106;641.1426;50.41665;5827191
14;2202.03173828125;1160.05771491528;8;391.7058;False;2202.032;46.97949;628.4603;16.3255;334958.6
15;2280;1269.85661640167;9;373.6383;True;2280;48.4425;636.3813;63.30876;9363497
16;2280;1353.82278059721;9;364.4467;True;2280;42.24866;612.2742;58.40936;9937032
17;2280;1490.98918392658;8;268.5621;True;2280;47.48413;656.0494;55.78859;7806950
18;2280;1474.48787139654;8;268.5621;True;2280;46.12354;668.4523;62.60025;7068927
19;2280;1632.11265258789;9;368.3553;True;2280;43.53418;661.6872;52.17442;7191362
20;2280;1478.63292541504;9;328.9924;True;2280;42.46765;617.3355;93.01177;1.136553E+07
21;2280;1369.04266834259;7;347.0223;True;2280;41.19287;626.1658;95.01431;207453.8
22;2280;1408.41505260468;8;338.3076;True;2280;40.69885;646.7848;111.1857;1.955639E+07
23;2280;1445.62144041061;9;369.235;True;2280;39.85083;642.6687;125.7082;1.400454E+07
24;2280;1696.23463745117;9;376.1735;True;2280;38.94128;670.1682;112.7241;1.509684E+07
25;2280;1621.30753952265;9;376.1735;True;2280;41.2937;567.6107;91.77306;2304102
26;2280;1519.24866107106;9;331.129;True;2280;45.0564;679.2731;63.59332;8308092
27;2280;1413.78985500336;9;331.129;True;2280;39.92676;644.7345;123.5516;1.357972E+07
28;2280;1600.64610923082;9;366.1299;True;2280;42.91382;611.0442;87.22724;2.331117E+07
29;2280;1757.15918852985;9;366.1299;True;2280;43.91382;636.9068;74.5695;6414379
30;2280;1656.1954203546;9;366.1299;True;2280;41.31104;616.4947;105.3331;1.437731E+07
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1823.82958984375;470.487268087268;8;357.4577;False;1823.83;39.07084;555.0668;82.74305;277190.8
2;1860.42858886719;585.9714676857;7;330.6446;False;1860.429;42.90221;563.0147;-36.78;20722.32
3;2118.42578125;973.983471211791;7;340.318;False;2118.426;51.19276;615.0005;-9.197517;204473
4;2280;1157.09175161719;7;306.2228;True;2280;39.444;649.8192;107.9809;3920534
5;2280;803.400491774082;7;329.5948;True;2280;40.58136;638.2147;130.2504;1.810915E+07
6;2157.94067382813;869.276841551065;7;329.5948;False;2157.941;53.4758;658.8863;30.4269;364805.1
7;2280;1145.1412406981;7;367.211;True;2280;39.93445;650.2561;105.7223;2.807889E+07
8;2280;1138.27800149471;7;251.1098;True;2280;40.48315;634.1702;139.9535;1.629946E+07
9;2280;863.901557374001;7;250.7657;True;2280;41.11627;631.7135;120.3075;1.484152E+07
10;2280;955.867097145319;7;303.0604;True;2280;43.19562;661.9346;97.02331;2.24567E+07
11;2280;1262.40672718287;7;303.0604;True;2280;42.27374;609.2174;99.27598;9275418
12;2280;1403.13144305348;7;303.0604;True;2280;39.75287;650.1743;120.7248;6052180
13;2280;1618.54627512693;7;303.0604;True;2280;41.84033;671.7411;98.87408;1.20393E+07
14;2280;1700.15242798328;7;338.836;True;2280;42.04205;677.5942;96.13141;2189794
15;2280;1122.28294241503;7;301.5494;True;2280;40.19885;641.1868;160.6591;2.139264E+07
16;2280;1275.43002245426;7;324.6584;True;2280;45.42969;686.61;75.27261;2352207
17;2280;1505.2153858602;8;259.4907;True;2280;41.51636;632.6398;97.84438;1.05001E+07
18;2280;1332.91176429093;7;301.5494;True;2280;40.06494;643.5986;115.9703;357466.2
19;2280;1118.14700277448;7;301.5494;True;2280;44.1394;672.075;70.67291;3219965
20;2280;1443.88149788678;7;256.6932;True;2280;41.76746;614.1308;104.0887;2.189288E+07
21;2280;1424.06870444119;8;327.3704;True;2280;40.39099;643.5275;98.96819;8038167
22;2280;1347.92914021015;8;327.3704;True;2280;47.64478;644.4376;42.51844;1.523692E+07
23;2280;1396.03195972443;8;327.3704;True;2280;39.32019;597.3104;104.7252;2.025775E+07
24;2280;1476.1709880054;8;327.3704;True;2280;43.03601;610.3443;90.36015;5768484
25;2280;1515.9003410697;8;317.4152;True;2280;40.40295;571.2738;96.80976;6130569
26;2280;1550.10415308475;9;329.3051;True;2280;44.4375;643.7761;41.24534;1.971516E+07
27;2280;1465.72765071392;9;329.3051;True;2280;57.19983;639.9618;-37.56913;111088.5
28;2280;1511.49697695374;9;329.3051;True;2280;43.25903;602.8604;83.25603;1.806881E+07
29;2280;1516.93287423253;9;373.2227;True;2280;41.4458;628.7763;86.54288;2.332986E+07
30;2280;1480.53414716721;8;359.2305;True;2280;54.31763;671.2709;38.4404;1326577
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;2207.01440429688;603.219739168882;10;344.3642;False;2207.014;51.00186;685.4529;-57.70012;152635.8
2;2280;1038.71177713871;9;292.3413;True;2280;46.29829;672.463;87.33305;5782987
3;2280;643.065755140781;10;344.3642;True;2280;48.83197;685.5331;57.39357;9376639
4;2203.005859375;835.584941864014;10;344.3642;False;2203.006;54.07938;675.912;0.533618;462051.9
5;2280;1244.62751929909;10;396.1158;True;2280;41.20499;628.7737;112.3259;1.219499E+07
6;2280;1352.0905390203;10;396.1158;True;2280;46.56348;660.0674;41.97189;8209007
7;2280;1128.26680065393;10;389.1915;True;2280;40.29504;643.3903;149.3028;1.225371E+07
8;2250.30200195313;1286.8743917942;10;395.6208;False;2250.302;51.35406;659.2111;-7.119276;261095
9;2280;1519.30103058815;10;342.2313;True;2280;44.92163;624.555;80.11476;1.650351E+07
10;2280;1661.37709350586;10;398.5822;True;2280;42.09851;612.8361;88.37109;4481956
11;2280;1605.19535446167;10;390.5572;True;2280;42.9071;581.5299;99.11179;1.492254E+07
12;2280;1556.82740097046;10;363.1506;True;2280;42.16077;674.1239;99.38177;4861583
13;2280;1315.55454483032;10;363.1506;True;2280;43.68494;652.1899;106.8717;1.838916E+07
14;2280;1342.90616474152;10;363.1506;True;2280;40.03638;645.0919;112.4034;3226974
15;2280;1161.729490453;10;363.1506;True;2280;45.76611;628.9908;45.50616;4521532
16;2280;1234.67850934267;9;305.8557;True;2280;43.48193;648.0298;125.2478;4088563
17;2280;1242.71662752926;9;273.6982;True;2280;47.56409;646.6551;70.85014;6901054
18;2280;1459.21127010584;10;363.2243;True;2280;40.8186;633.8221;104.2768;1.696972E+07
19;2280;1618.70922894478;10;363.2243;True;2280;43.82227;649.6926;45.36485;1.793751E+07
20;2280;1846.40648803711;10;383.0842;True;2280;47.35242;660.1555;25.84995;2.425811E+07
21;2280;1573.10764185786;10;383.0842;True;2280;54.26904;665.752;57.37319;2687233
22;2280;1899.3409365654;10;383.0842;True;2280;44.59619;643.4114;66.55184;6039500
23;2280;1416.6499111414;10;348.4124;True;2280;42.43604;666.5123;88.73047;4605540
24;2280;1373.81631906033;10;348.4124;True;2280;53.10791;638.1536;55.55643;6597295
25;2280;1166.27640910745;10;348.4124;True;2280;48.22363;652.275;14.85546;243801.9
26;2280;1233.59622575641;10;334.4276;True;2280;42.27075;626.028;47.40708;1.575005E+07
27;2280;1599.37639312744;10;401.6778;True;2280;49.94629;611.4927;43.78106;1.92426E+07
28;2280;1568.69967250824;10;401.6778;True;2280;51.53784;652.3165;3.998055;2788652
29;2280;1311.75194195509;10;401.6778;True;2280;47.9458;590.9125;68.81322;2650397
30;2280;1509.65844573975;10;398.7141;True;2280;42.33984;543.4531;81.76797;1533209
#
