Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;6681,6181640625;1695,63968468308;8;362,6468;False;1336,324;71,14767;391,9483;0,4520214;36397,04
2;12128,12109375;5191,74265577793;10;357,1356;False;2425,624;128,8621;701,056;-6,848132;39827,39
3;12130,8349609375;5626,91445402503;10;357,1356;False;2426,167;152,6945;695,6619;-1,365877;52126,03
4;13159,4384765625;7559,12795410156;10;348,0258;False;2631,888;152,7257;768,5015;-11,8688;33681,98
5;12625,947265625;7913,86113986969;10;362,0252;False;2525,189;114,8431;718,3735;-15,3792;34057,02
6;31366,265625;10739,4057373047;10;358,2521;True;2760;134,1835;772,1373;30,05795;2028111
7;30734,212890625;9213,5312713623;10;358,2521;True;2760;150,5446;779,0762;69,28997;2554822
8;32346,0546875;12642,2161132813;10;325,8703;True;2760;131,8596;814,4322;28,5853;1211622
9;30110,900390625;9925,6412109375;10;327,3296;True;2760;119,5249;813,798;33,54514;3074249
10;32914,60546875;10844,3442250013;10;356,8862;True;2760;138,46;802,1823;21,68851;737827,4
11;33548,7109375;13860,2212158203;10;327,3296;True;2760;127,1102;853,6458;25,49126;209406,9
12;31925,357421875;12035,1161621094;10;327,3296;True;2760;138,0042;833,5398;31,60409;1562202
13;33490,41015625;12417,1961334229;10;332,6053;True;2760;114,8364;806,829;46,24703;257990,8
14;32909,03125;13028,3713002205;10;332,6053;True;2760;113,0743;809,2596;32,06575;742472,6
15;33426,76171875;18075,3570518494;10;332,6053;True;2760;109,6826;856,9903;39,10323;311031,7
16;32490,818359375;14711,3277832031;10;321,0446;True;2760;108,7231;865,5396;25,89876;1090985
17;33462,5078125;15614,7211455345;10;345,6101;True;2760;120,8684;769,1834;40,8101;281244,7
18;33266,03125;14463,3587646484;10;298,9517;True;2760;100,8638;847,9496;27,77401;444974,8
19;31665,33203125;16074,4385742187;10;325,9176;True;2760;116,8206;873,1311;31,74257;1778890
20;33149,79296875;14003,3754493713;10;320,4802;True;2760;102,895;774,4098;24,65888;541838,9
21;32474,841796875;14564,7621422768;9;249,095;True;2760;100,3542;809,5609;32,20684;1104299
22;33114,41796875;21309,594025135;10;291,5622;True;2760;110,0784;838,8517;7,885936;571318,1
23;33238,07421875;20990,4742675781;8;260,9352;True;2760;95,72607;876,4063;38,27507;468270,7
24;32940,13671875;24496,1120117187;10;221,4768;True;2760;93,31006;812,7134;17,59178;716552,9
25;32157,337890625;21506,6088790894;8;242,0475;True;2760;93,76001;869,1731;30,03532;1368886
26;32163,45703125;21593,9747558594;10;221,4768;True;2760;91,16602;896,0681;33,87979;1363787
27;30634,900390625;18720,2169067383;10;263,1218;True;2760;87,9895;900,6623;27,40361;2637584
28;30128,6328125;15330,0670471191;10;221,4768;True;2760;95,25757;868,1974;32,34362;3059473
