Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;9942,98046875;2925,69581691921;8;270,7333;False;1988,596;52,01064;629,1005;123,4281;377712,2
2;9926,4541015625;4561,6135892868;9;269,6505;False;1985,291;49,21638;617,5005;50,3491;37404,8
3;29256,41015625;7890,37918510437;9;263,6153;True;2280;44,19504;697,9199;117,1783;1786324
4;29474,095703125;7857,85220718384;9;276,7796;True;2280;45,73224;668,7056;141,7943;1604920
5;29789,509765625;9611,04377059936;9;276,7796;True;2280;50,32617;710,9731;70,12386;1342076
6;30297,052734375;11102,0416992187;9;265,2669;True;2280;44,74313;687,3215;83,8812;919122,3
7;29657,587890625;12016,9397949219;9;271,82;True;2280;52,5611;713,0863;150,3513;1452011
8;28929,876953125;11719,3857177734;9;282,7941;True;2280;40,86377;694,2522;200,4684;2058436
9;29993,212890625;11440,8787780762;9;282,7941;True;2280;46,35394;659,0979;167,2657;1172322
10;29033,83203125;12682,5963867187;9;245,7789;True;2280;51,69116;689,7605;109,7778;1971807
11;28293,958984375;10199,8909179688;9;245,7789;True;2280;51,16541;699,0372;54,85781;2588367
12;28151,244140625;9628,13117675781;10;254,7789;True;2280;42,79993;676,4255;149,4187;2707297
13;19640,408203125;9682,0642578125;9;238,9955;True;2280;48,28473;679,5604;121,759;9799660
14;26671,791015625;9426,45267333984;10;264,6241;True;2280;43,09564;687,881;87,88902;3940175
15;26549,1875;10684,5830810547;9;230,5163;True;2280;47,35181;707,7379;39,8388;4042344
16;29020,685546875;10733,3424067438;8;229,3261;True;2280;45,66699;689,9887;66,90792;1982762
17;22137,529296875;10392,1212402344;10;259,2924;True;2280;47,05884;704,6906;161,4284;7718725
18;15622,9287109375;9196,3775390625;8;223,4879;True;2280;50,23389;711,4214;99,68699;1,314756E+07
19;26283,763671875;11534,7311855316;10;259,2924;True;2280;47,28955;707,5771;68,85462;4263531
20;29266,57421875;9576,87521972656;10;259,2924;True;2280;45,19299;678,4827;116,7867;1777855
21;26718,154296875;10383,0965770721;9;272,4051;True;2280;41,42346;686,7831;184,9921;3901538
22;29115,134765625;12889,9880126953;8;231,6127;True;2280;45,15771;680,6069;93,67087;1904055
23;29633,59375;11076,9025878906;8;253,5599;True;2280;43,9751;635,0905;192,2256;1472006
24;28134,81640625;11957,6642822266;9;268,7658;True;2280;43,24414;652,6891;198,1879;2720986
25;28693,90234375;11931,1453857422;9;268,7658;True;2280;40,72144;691,3258;232,9826;2255082
26;14565,0283203125;9093,10610351563;9;259,1566;True;2280;43,99988;651,897;79,08337;1,402914E+07
27;24986,837890625;11889,9184082031;9;272,0029;True;2280;50,19836;651,8025;136,8257;5344301
28;25123,37890625;14615,0882568359;8;257,8629;True;2280;45,06299;684,4377;131,9574;5230518
29;30133,046875;14571,1159179687;9;298,1693;True;2280;47,0481;698,8134;206,1111;1055795
30;30401,39453125;9472,86737365723;8;257,8629;True;2280;47,73315;695,4616;105,1318;832171,1
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;8066,4921875;2475,04023106098;9;323,4774;False;1613,298;46,37598;491,7247;-0,2623169;276805,7
2;9294,1435546875;4979,27817993164;10;353,0959;False;1858,829;52,18504;553,2134;-40,49953;491055,6
3;9519,3271484375;5492,55358276367;10;231,8917;False;1903,865;43,23726;566,186;-58,10071;199668,8
4;8875,935546875;5335,54581150413;10;336,4451;False;1775,187;46,85748;522,7598;-36,0872;640718,1
5;9270,5810546875;4930,61362266541;10;286,0148;False;1854,116;51,06961;572,0776;-64,41912;759046,6
