Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;20580,2734375;8188,18171989918;9;394,034;False;4116,055;250,4378;805,245;146,4839;234127,9
2;41557,69921875;13795,8418693542;10;324,1342;True;4450;225,1583;867,2269;46,32012;576918,3
3;41484,5;13140,6081960678;9;310,5504;True;4450;181,7336;854,0736;118,6771;637916,1
4;41930,8046875;19446,12721982;10;324,1342;True;4450;245,9818;866,2367;84,61219;265994,6
5;42048,41015625;16348,9592281342;10;324,1342;True;4450;229,5671;856,9579;88,57468;167992
6;37377,26953125;12982,1536996305;9;288,1695;True;4450;199,1443;828,46;23,77526;4060609
7;41754,55078125;21577,8136751175;9;310,5504;True;4450;194,5892;845,9705;57,50511;412874,4
8;41537,99609375;22267,016635865;9;310,5504;True;4450;196,0066;838,0199;168,3922;593335,1
9;38394,08984375;20820,3393446922;10;293,3458;True;4450;190,967;863,2154;-55,28486;3213258
10;40384,7265625;26369,231607914;9;296,0804;True;4450;195,187;846,9587;95,14303;1554394
11;41708,3828125;23913,4958007812;9;319,1787;True;4450;196,0874;833,0605;22,35734;451348,6
12;41566,9453125;28642,5439460754;9;304,9673;True;4450;189,2271;839,0478;40,48281;569213,7
13;41711,48046875;26471,9378379822;9;310,5504;True;4450;198,1892;848,2187;137,3154;448767,1
14;41650,05078125;23663,2715418816;9;304,9673;True;4450;206,9177;856,1373;111,32;499958,2
15;41273,7890625;25569,0626464844;9;310,9502;True;4450;189,6416;819,7606;107,9217;813510,7
16;41800,140625;25092,1176456451;9;320,1099;True;4450;186,3442;806,4554;44,20285;374882
17;41972,5;21245,5531730652;9;308,1061;True;4450;189,5205;822,3499;28,72898;231250,9
18;41439,6875;23919,9369375229;8;301,166;True;4450;213,6924;821,652;17,07412;675261,9
19;42056,5234375;23319,7042840004;9;307,4955;True;4450;182,4917;830,2866;99,82805;161230,4
20;41219,4453125;29354,1353271484;9;303,3151;True;4450;194,2583;845,2529;118,6881;858794,9
21;41711,015625;27569,7213092804;9;315,1244;True;4450;190,3711;844,3991;36,71893;449152,8
22;41597,55078125;21920,3615602493;9;301,867;True;4450;187,5391;848,8114;52,73915;543708,8
23;41477,015625;27614,2897762299;9;302,2103;True;4450;197,7144;786,3976;27,95132;644152,7
24;41687,83203125;32125,5712182999;9;306,7976;True;4450;191,5288;788,8226;39,96735;468473,8
25;41292,765625;31515,570703125;9;302,2103;True;4450;207,0596;856,7488;122,1627;797695,5
26;41588,80859375;23260,4324813843;9;306,7976;True;4450;185,6025;860,1962;113,3097;550993,9
